"count","results__id","results__type","results__challenge_id","results__content","results__cost","results__requirements"
"29","7","standard","27","Decodificador SSTV","0","null"
"","8","standard","49","Sitio de la Pantera Negra","0","null"
"","9","standard","57","Ook","0","null"
"","10","standard","59","El consultorio tiene una ventana hacia la calle","0","null"
"","11","standard","64","Analiza y busca los registros del sistemas.","0","null"
"","12","standard","65","Analiza y busca los registros del sistemas.","0","null"
"","13","standard","66","Analiza y busca los registros del sistemas.","0","null"
"","14","standard","67","Analiza y busca los registros del sistemas.","0","null"
"","15","standard","68","Analiza los protocoles de comunicacion utilizados por un active directory.","0","null"
"","16","standard","69","Interesante como se ve Dua","0","null"
"","17","standard","70","Que cancion es?","0","null"
"","18","standard","71","Imagen teclado NOKIA","0","null"
"","19","standard","73","Pon la basura en su lugar y ordena este desastre","0","null"
"","20","standard","74","Enumera el servicio web.","0","null"
"","21","standard","76","Mira el nombra de la maquina. Necesitas ser un buen pescador.","0","null"
"","22","standard","79","Verificar debugging","0","null"
"","23","standard","84","Qué es lo que debe exigir un DevOps al final de un día de código?","0","null"
"","24","standard","84","Qué es lo más importante en una app con perfilamiento?","0","null"
"","25","standard","84","Citrus Punch famoso Ecuatoriano.","0","null"
"","26","standard","128","Identifica la puerta de acceso al servidor para ejecutar comandos","0","null"
"","27","standard","129","Trata de identificar las credenciales del usuario de la aplicacion web","0","null"
"","28","standard","130","Accede a los archivos del superusuario del sistema operativo","0","null"
"","29","standard","131","Revela las credenciales de acceso reversando el aplicativos de finanzas","0","null"
"","30","standard","132","Accede a la base de datos y encuentra los estados financieros","0","null"
"","31","standard","139","No es ninguna cuenta de twitter. Creo que debes usar una lupa!","0","null"
"","32","standard","139","Today is the day!!","0","null"
"","33","standard","76","Para obtener un punto de apoyo es necesario realizar un ataque de phishing. En el caso de esta máquina, esperen la respuesta interactiva de un usuario que va a caer en sus engaños. Adelante y suerte, sean convincentes y piensen en como funciona el phishing en la vida real. ","0","null"
"","34","standard","76","Miren el sitio web, podrián identificar usuarios?. Tienen un puerto 25 abierto. Podría comprobar ahí que usuarios existen?","0","null"
"","35","standard","76","Obtén la lista de empleados de la empresa del sitio web, crea un diccionario de usuarios, usa el puerto 25 para enviar correos para los usuarios que le lleve a un formulario donde recolectes la información de credenciales.","0","null"
