"count","results__id","results__name","results__description","results__max_attempts","results__value","results__category","results__type","results__state","results__requirements","results__requirements__prerequisites__-"
"123","20","Descifrando sin descifrar","Las instrucciones del presente reto están en el archivo adjunto, la resolución deberá ser subida a un repositorio público(github, gitlab) y escribir el link en el siguiente recuadro.","0","0","Programación","manual_verification","hidden","null",""
"","21","Automatizacion de IoCs","Las instrucciones y la información necesaria del presente reto están como archivos adjuntos, la resolución deberá ser subida a un storage publico(dropbox, google dirve) y escribir el link de descarga en el siguiente recuadro.","0","0","Programación","manual_verification","hidden","null",""
"","22","Evaluación de Estado de DNS de Zona","Las instrucciones del presente reto están en el archivo adjunto, la resolución deberá ser subida a un repositorio público(github, gitlab) y escribir el link en el siguiente recuadro.","0","0","Programación","manual_verification","hidden","null",""
"","23","Gestión Firmas Ec","Las instrucciones del presente reto están en el archivo adjunto, la resolución deberá ser subida a un repositorio público(github, gitlab) y escribir el link en el siguiente recuadro.\r\nhttps://www.firmadigital.gob.ec/informacion-para-desarrolladores/","0","0","Programación","manual_verification","hidden","null",""
"","24","Detectando Trafico de Red Malicioso con Machine Learning","Las instrucciones del presente reto están en el archivo adjunto, la resolución deberá ser subida a un repositorio público(github, gitlab) y escribir el link en el siguiente recuadro.","0","0","Programación","manual_verification","hidden","null",""
"","25","El Pescador bueno","Las instrucciones del presente reto están en el archivo adjunto, la resolución deberá ser subida a un repositorio publico(githuh, gitlab) y escribir el link en el siguiente recuadro.","0","0","Programación","manual_verification","hidden","null",""
"","26","El Pescador malo","Las instrucciones del presente reto están en el archivo adjunto, la resolución deberá ser subida a un repositorio publico(githuh, gitlab) y escribir el link en el siguiente recuadro.","0","0","Programación","manual_verification","hidden","null",""
"","27","Agente Reto 1.0","El reto se centra como escenario en el descubrimiento de un cargamento de droga que partirá de Colombia para Ecuador, los grupos de inteligencia de ambos países filtran a un agente en el grupo de narcotraficantes, pero este al sentirse descubierto envía un mensaje al grupo de inteligencia, el cual contiene un audio y un texto aparentemente sin sentido.\r\nSe de un cargamento, que dejaron en una camioneta, pero desconozco la marca y ubicación de la misma.\r\nAl parecer el audio es la clave de todo, mientras espiaba logre escuchar los siguientes términos:\r\n\r\nSSTV\r\n\r\n        - La clave esta en el trasteo en la esquina de la casa de Piedra\r\n        - La imagen del regalo, contiene la placa del vehículo donde JR dejo el cargamento\r\n\r\nDebemos encontrar el propietario, urgente de la camioneta\r\n\r\nFormato: flag{bandera_a_buscar}\r\n","0","50","Osint - Agente","standard","hidden","null",""
"","28","Agente Reto 2.0","Metadatos en Imagenes \r\n\r\nFormato: flag{coordenadas en DMS}","0","50","Osint - Agente","standard","hidden","null",""
"","29","Agente Reto 3.0","Navegacion Google Street \r\n\r\nformato: flag{clave}","0","50","Osint - Agente","standard","hidden","null",""
"","30","Agente Reto 4.0","Descomprimir Fichero \r\n\r\nformato: flag{imagen}","0","50","Osint - Agente","standard","hidden","null",""
"","31","Agente Reto 5.0","Analisis Forense Imagen \r\n\r\nfomato: flag{herramienta}","0","50","Osint - Agente","standard","hidden","null",""
"","32","Agente Reto 6.0","Obtencion de Placa Vehiculo ","0","50","Osint - Agente","standard","hidden","null",""
"","33","Agente Reto 7.0","Informacion Adicional a la Placa \r\n\r\nformato: flag{nombre propiertario}","0","50","Osint - Agente","standard","hidden","null",""
"","34","Debug","Ayuda al equipo de seguridad a identificar la flag contenida en el archivo .exe adjunto. Nope, ni Virus total ni Hybrid-analysis son útiles en este caso","0","500","MISC","standard","hidden","null",""
"","35","Reto 1.0","El reto se centra en un pequeño video publicado en una red social de una persona, la idea el investigador reúna la máxima información posible, a partir de toda la información que encuentre:\r\nPara ello, se debe encontrar una persona en Facebook, con los siguientes parámetros:\r\n\r\n        - Vive en Colombia, en la ciudad de Pereira,\r\n        - Estudia en la Universidad de Caldas\r\n        - En la foto de perfil, envía un beso lo mismo que la foto principal\r\n				\r\nPerfil de Facebook.\r\nFormato: flag{id_profile_facebook}\r\n","0","50","Osint - Besos","standard","hidden","null",""
"","36","Reto 2.0","Hallar Perfil de Twitter.\n\nFormato: flag{}\n","0","50","Osint - Besos","standard","hidden","null",""
"","37","Reto 3.0","Hallar Perfil de Instagram.\n\nFormato: flag{}\n","0","50","Osint - Besos","standard","hidden","null",""
"","38","Reto 4.0","Hallar Perfil de TikTok.\n\nFormato: flag{}\n","0","50","Osint - Besos","standard","hidden","null",""
"","39","Reto 5.0","Descargar Video TikTok.\r\n\r\nFormato: flag{codigo}\r\n","0","50","Osint - Besos","standard","hidden","null",""
"","40","Reto 6.0","Extraer Fotogramas.\n\nFormato: flag{}\n","0","50","Osint - Besos","standard","hidden","null",""
"","41","Reto 7.0","Hallar Iglesia 1.0.\n\nFormato: flag{}\n","0","50","Osint - Besos","standard","hidden","null",""
"","42","Reto 8.0","Encontrar Notas y Coordenadas.\r\n\r\nFormato: flag{notaenminusculasinespacio,coordenada1,coordenada2}\r\nTodo en minusculas, ni tildes y sin espacios. Notese que no hay espacio ni en las comas.","0","50","Osint - Besos","standard","hidden","null",""
"","43","Reto 9.0","Hallar Nombre de Torre.\r\n\r\nFormato: flag{}\r\nTodo en minuscula","0","50","Osint - Besos","standard","hidden","null",""
"","44","Reto 10.0","Hallar Iglesia 2.\r\n\r\nFormato: flag{}\r\nTodo en minusculas.","0","50","Osint - Besos","standard","hidden","null",""
"","45","Reto 11.0","Hallar Protagonistas.\r\n\r\nFormato: flag{}\r\nTodo en minuscula\r\n","0","50","Osint - Besos","standard","hidden","null",""
"","46","Reto 12.0","Hallar Hotel.\r\n\r\nFormato: flag{Nombre del hotal}\r\nTodo en minuscula","0","50","Osint - Besos","standard","hidden","null",""
"","47","Reto 13.0","Hallar Carteles de Ruta.\r\n\r\nFormato: flag{}\r\n\r\nTodo en minuscula","0","50","Osint - Besos","standard","hidden","null",""
"","48","Reto 14.0","Hallar punto de Parada.\r\n\r\nFormato: flag{respuesta1,respuesta2}\r\n \r\n Formato: todo unido y la coma sin espacio. ","0","50","Osint - Besos","standard","hidden","null",""
"","49","Reto 15.0","Hallar lugar de Coordenadas.\r\n\r\nFormato: flag{RespuestaEnMinuscula}\r\n","0","50","Osint - Besos","standard","hidden","null",""
"","50","Parame ZONA","Empresa.lab nos ha solicitado ejecutar una auditoría de seguridad. La enumeracion es un proceso fundamental en un Penetration Testing por lo que cada servicio debe ser investigado. La empresa se encuentra publicada en la IP 192.168.70.10. Enumera sus servicios!. Tal vez ayude colocar como DNS primario la ip 192.168.70.10\n\nFormato: flag{FLAG}\n","0","150","Hack the Corp","standard","hidden","null",""
"","51","Sitios Web Seguros","Empresa.lab es innovadora, los sitios web expuestos son considerados extremadamente seguros. Puedes probar lo contrario? - (Las credenciales de acceso no dan puntos)\n\nFormato: flag{FLAG}\n","0","250","Hack the Corp","standard","hidden","null",""
"","52","Mi Primera Shell","Con tu primera shell, escala privilegios a root (flag en directorio /root)\n\nFormato: flag{FLAG}\n","0","450","Hack the Corp","standard","hidden","null",""
"","53","Update","La empresa al parecer realiza actualizaciones periódicas de su software. Estudia este proceso y gana una nueva shell (no es necesario escalar privilegios a root, pero si lo haces OK)\n\nFormato: flag{FLAG}\n","0","500","Hack the Corp","standard","hidden","null",""
"","54","Alto VOLUMEN","Misty se ha dado cuenta que la IP que termina en 123 (en su mismo segmento de red) tiene información muy importante de la empresa en un directorio compartido. Esto en malas manos sería peligroso (Flag es el pass descifrado).\n\nFormato: flag{FLAG}\n","0","500","Hack the Corp","standard","hidden","null",""
"","55","Reto Nada es imposible","No obligar numeros enteros 192.168.50.10","0","350","MISC","standard","hidden","null",""
"","56","Reto Agente Bond lo necesitamos","Agente 007 hemos recibido una transmisión de nuestro infiltrado el agente Robot36 la cual es un audio que no logramos identificar, su misión es encontrar el mensaje oculto.\r\n\r\nFormato: flag{bandera}","0","50","MISC","standard","hidden","null",""
"","57","Reto Ayuda Elliot","Elliot...Elliot contesta.. soy Darlene!! tengo informacion importante para destruir ECORP, te envio un archivo comprimido que solo tu con tu informacion personal puedes acceder.\r\nNombre: Elliot\r\nApellido: Alderson\r\nNickname: mr.robot\r\nFecha de nacimiento: 21/02/1988\r\n\r\nFLAG: flag{palabra_palabra}\r\n","0","150","MISC","standard","hidden","null",""
"","58","Reto Whoami","He perdido la memoria temporalmente, lo unico que recuerdo es que mi vecino es un aficionado a las computadoras que me encargo que cuide de su pez cuando el no estaba, recuerdo que usa chompa con capucha negra, ¿Quien soy?","0","100","MISC","standard","hidden","null",""
"","59","Reto El dolor de diente..","Necesitamos tu ayuda encontrando una camara de un consultorio odontologico, los datos que tenemos son los siguientes:\n** La camara esta en Quito-Ecuador.\n** El puerto de la camara es el 8888.\n** El producto/marca es 'GoAhead-Webs httpd'\nLa flag sera la IP publica de ese local, trata de no encontrar el local cerrado. ""\n","0","200","MISC","standard","hidden","null",""
"","60","Reto Espacio Exterior","Un satelite ha recibido un mensaje del espacio exterior, nuestros tecnicos lo han analizado pero al parecer esta vacio, puedes encontrar el mensaje oculto? ","0","150","MISC","standard","hidden","null",""
"","61","Reto La lista de compras","Hemos capturado a un delincuente que intentaba robar un banco, en su bolsillo se encontre una lista de compras que pensamos tiene un codigo secreto por el cual se comunica con su banda, puedes ayudarnos a encontrar el mensaje? ","0","150","MISC","standard","hidden","null",""
"","62","Reto Las 30 vueltas","Antes de ser capturado nuestro informante nos dijo lo siguiente: ""Para llegar a la base 64 debes dar 30 vueltas seguidas"" ","0","200","MISC","standard","hidden","null",""
"","63","Reto ¿Que esconden los cybros?","El team de Cybros by Artics encontre un hotel genial para sus vacaciones ¿Que dice en el edificio? \r\n\r\nFlag: flag{nombre edificio}","0","100","MISC","standard","hidden","null",""
"","64","Reto Maquina infectada con ransomware 1","Direccion IP del atacante?\r\n\r\nFile: https://nc.campeonatociberseguridad.ec:44301/index.php/s/GdmsqACg7xSwApf\r\n\r\nFormato: flag{FLAG}\r\n","0","150","Ransomware","standard","hidden","null",""
"","65","Reto Maquina infectada con ransomware 2","Usuario que ejecuto el ransomware?\n\nFormato: flag{FLAG}\n","0","150","Ransomware","standard","hidden","null",""
"","66","Reto Maquina infectada con ransomware 3","""Fecha y hora de la infeccion del ransomware? ""\r\n\r\nFormato: flag{dd/mm/aaaa hh:mm:ss}\r\n","0","150","Ransomware","standard","hidden","null",""
"","67","Reto Maquina infectada con ransomware 4","Hash del ramsomware?\r\n\r\nFormato: flag{FLAG}\r\n","0","150","Ransomware","standard","hidden","null",""
"","68","Reto Obteniendo password","Cual es la password de administrador que fue comprometida?\n\nFormato: flag{FLAG}\n","0","150","MISC","standard","hidden","null",""
"","69","Reto Encuentra el Secreto 1","Link: https://192.168.70.30:1001\n\nFormato : flag{FLAG} \n","0","250","MISC","standard","hidden","null",""
"","70","Reto Encuentra el Secreto 2","Las 7 primeras palabras! ","0","250","MISC","standard","hidden","null",""
"","71","Reto Como en los viejos Tiempos!!!","Enviame un mensaje \n\nFormato: flag{FLAG}\n","0","150","MISC","standard","hidden","null",""
"","72","Reto Cyber-Red","Vulnerabilidad WEB\r\nURL: http://192.168.90.20\r\n\r\n2 flags user - root\r\n\r\nFormato: flag{FLAG}\r\n","0","300","MISC","standard","hidden","null",""
"","73","Reto Cesar codificando con numeros de la suerte","A Cesar le encanta hacer desorden y es fanatico de los numeros de la suerte. Cesar esta intentando enviar un mensaje a sus aliados. ¿Crees que lo puedes encontrar?  ","0","300","MISC","standard","hidden","null",""
